RefDes     X          Y          Rot.       Exact     (FREE)    Side
R38        9325.0000  3545.0000  180        EXACT     (FREE)    Bottom                        
R39        9325.0000  3645.0000  180        EXACT     (FREE)    Bottom                        
R40        9325.0000  3745.0000  180        EXACT     (FREE)    Bottom                        
R41        9345.0000  3045.0000  000        EXACT     (FREE)    Top                           
R42        9345.0000  3145.0000  000        EXACT     (FREE)    Top                           
R43        9345.0000  3245.0000  000        EXACT     (FREE)    Top                           
R44        9345.0000  3345.0000  000        EXACT     (FREE)    Top                           
R45        9345.0000  3445.0000  000        EXACT     (FREE)    Top                           
R46        9345.0000  3545.0000  000        EXACT     (FREE)    Top                           
R47        9345.0000  3645.0000  000        EXACT     (FREE)    Top                           
R48        9345.0000  3745.0000  000        EXACT     (FREE)    Top                           
R49        9345.0000  3845.0000  000        EXACT     (FREE)    Top                           
R50        9345.0000  3945.0000  000        EXACT     (FREE)    Top                           
R51        9345.0000  4045.0000  000        EXACT     (FREE)    Top                           
R52        9345.0000  4145.0000  000        EXACT     (FREE)    Top                           
R53        9345.0000  4245.0000  000        EXACT     (FREE)    Top                           
R54        9345.0000  4345.0000  000        EXACT     (FREE)    Top                           
